               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033818,            0.014898,           0.0021784,             0.88029,             0.77665,             0.84103,             0.55118,            0.032059,            0.010309,           0.0035027,            0.006535,            0.006535,            0.006535
                  37,            0.032575,            0.015039,           0.0020042,             0.93795,             0.80876,             0.84685,              0.4901,            0.036466,            0.010727,           0.0031868,            0.006436,            0.006436,            0.006436
                  38,            0.030974,            0.014306,           0.0018419,             0.90971,              0.8429,             0.87263,             0.55003,            0.030419,            0.010532,           0.0031799,            0.006337,            0.006337,            0.006337
                  39,            0.031587,            0.014062,           0.0019976,             0.91095,             0.79487,             0.86695,             0.56349,            0.032594,            0.010536,           0.0028645,            0.006238,            0.006238,            0.006238
                  40,            0.031585,            0.014347,           0.0017657,             0.92495,             0.84457,             0.88425,              0.5993,            0.031143,            0.010288,           0.0028069,            0.006139,            0.006139,            0.006139
                  41,            0.030524,            0.012805,           0.0018816,             0.90389,             0.83654,             0.88627,             0.55507,            0.031135,            0.010078,           0.0025497,             0.00604,             0.00604,             0.00604
                  42,            0.029599,            0.015273,           0.0020551,             0.92371,             0.83654,             0.88867,             0.58496,            0.028496,           0.0099907,           0.0024345,            0.005941,            0.005941,            0.005941
                  43,             0.03034,            0.014535,           0.0017871,             0.81873,             0.83547,              0.8076,             0.48844,            0.032287,           0.0098019,           0.0021828,            0.005842,            0.005842,            0.005842
                  44,            0.029548,            0.014197,           0.0016821,             0.84595,             0.87168,             0.88164,              0.5966,            0.029583,           0.0098667,           0.0021793,            0.005743,            0.005743,            0.005743
                  45,            0.028731,            0.014496,           0.0017847,             0.87552,             0.86325,             0.88803,             0.57338,            0.031201,            0.010061,           0.0021297,            0.005644,            0.005644,            0.005644
                  46,            0.028497,            0.014093,           0.0017062,             0.86192,             0.83654,             0.86476,             0.58278,            0.030425,            0.010466,           0.0023045,            0.005545,            0.005545,            0.005545
                  47,            0.027401,            0.012737,           0.0015963,             0.84117,             0.86325,             0.87888,             0.56796,            0.035413,            0.010374,           0.0021889,            0.005446,            0.005446,            0.005446
                  48,             0.02902,            0.014495,           0.0016608,             0.84601,             0.86325,              0.8854,             0.59367,            0.027766,           0.0095739,           0.0021053,            0.005347,            0.005347,            0.005347
                  49,            0.027569,             0.01256,           0.0015099,              0.8227,             0.88996,             0.88142,             0.58781,            0.030863,           0.0095863,           0.0019512,            0.005248,            0.005248,            0.005248
                  50,            0.026287,            0.013445,           0.0014198,             0.87185,             0.85816,             0.89073,             0.61257,            0.027472,           0.0094471,           0.0019093,            0.005149,            0.005149,            0.005149
                  51,            0.026885,            0.013114,           0.0016983,             0.83823,             0.87714,             0.88468,             0.54823,             0.03105,           0.0097504,           0.0019936,             0.00505,             0.00505,             0.00505
                  52,            0.027266,            0.013401,           0.0016116,             0.88079,             0.85821,             0.89772,             0.60356,            0.028728,            0.010075,           0.0022106,            0.004951,            0.004951,            0.004951
                  53,            0.025356,            0.012481,           0.0015084,              0.9238,             0.79135,             0.87931,              0.5797,            0.029355,            0.010189,           0.0024117,            0.004852,            0.004852,            0.004852
                  54,            0.025925,            0.012858,           0.0014613,             0.86971,              0.8515,             0.89817,             0.59632,            0.028146,           0.0099678,           0.0025074,            0.004753,            0.004753,            0.004753
                  55,            0.025359,            0.011695,           0.0014512,             0.89151,             0.86288,             0.90326,             0.59207,            0.030562,           0.0098114,           0.0024311,            0.004654,            0.004654,            0.004654
                  56,            0.025152,            0.013338,           0.0015175,             0.91751,             0.85651,              0.8895,             0.60716,            0.027489,            0.010004,           0.0025169,            0.004555,            0.004555,            0.004555
                  57,            0.024345,             0.01191,           0.0016836,             0.91946,             0.87186,             0.88304,             0.56528,            0.029201,            0.010309,           0.0025101,            0.004456,            0.004456,            0.004456
                  58,            0.024675,             0.01276,           0.0016844,             0.91005,             0.85043,             0.86372,             0.58385,            0.027391,            0.010135,           0.0025242,            0.004357,            0.004357,            0.004357
                  59,            0.023866,            0.011648,           0.0014667,             0.88224,             0.79487,             0.83746,             0.53304,            0.032151,            0.010746,           0.0023815,            0.004258,            0.004258,            0.004258
                  60,            0.024558,            0.012502,           0.0013273,             0.89837,             0.85789,             0.86254,             0.60709,            0.026737,             0.01023,           0.0022789,            0.004159,            0.004159,            0.004159
                  61,            0.023338,            0.012165,           0.0014785,             0.89457,              0.8584,             0.87183,             0.56584,            0.028324,           0.0096712,           0.0021591,             0.00406,             0.00406,             0.00406
                  62,             0.02323,            0.011785,           0.0014136,             0.92595,             0.86325,             0.90812,             0.63136,            0.025444,           0.0089455,           0.0020685,            0.003961,            0.003961,            0.003961
                  63,            0.022665,            0.011915,           0.0012254,             0.91049,             0.88518,             0.90687,             0.59514,            0.029197,            0.009203,           0.0020647,            0.003862,            0.003862,            0.003862
                  64,            0.023105,            0.012611,           0.0013926,             0.93082,             0.85393,              0.9031,             0.61975,            0.025742,           0.0090399,            0.002099,            0.003763,            0.003763,            0.003763
                  65,             0.02243,            0.012052,           0.0011323,             0.92196,             0.85043,             0.89913,             0.59896,            0.028051,           0.0094709,           0.0020391,            0.003664,            0.003664,            0.003664
                  66,            0.022352,            0.011753,           0.0011938,             0.92217,             0.85043,             0.88519,             0.62521,            0.026322,           0.0095558,           0.0019833,            0.003565,            0.003565,            0.003565
                  67,            0.022055,            0.011996,           0.0012981,             0.90443,              0.8403,              0.8699,             0.59524,            0.027242,            0.009532,           0.0019112,            0.003466,            0.003466,            0.003466
                  68,            0.022226,            0.011213,           0.0011448,             0.91005,             0.87673,             0.89399,             0.62295,            0.025903,            0.009305,           0.0018766,            0.003367,            0.003367,            0.003367
                  69,            0.021574,            0.012151,           0.0014312,             0.91232,              0.8722,             0.89363,             0.61405,            0.026353,           0.0091972,           0.0018393,            0.003268,            0.003268,            0.003268
                  70,            0.020325,             0.01124,           0.0010752,             0.91224,             0.86846,              0.8972,              0.6256,            0.026126,           0.0093212,           0.0018278,            0.003169,            0.003169,            0.003169
                  71,            0.019832,            0.011093,           0.0012434,             0.91059,             0.86781,             0.89686,             0.60354,            0.026848,           0.0094204,            0.001849,             0.00307,             0.00307,             0.00307
                  72,            0.021144,            0.010848,            0.001252,             0.91052,             0.86834,             0.89664,             0.62886,            0.025682,           0.0094109,            0.001947,            0.002971,            0.002971,            0.002971
                  73,            0.020088,            0.011591,           0.0013165,               0.906,             0.86432,             0.89614,             0.64685,             0.02482,           0.0094748,           0.0019733,            0.002872,            0.002872,            0.002872
                  74,            0.019921,            0.011032,            0.001249,             0.90653,             0.86432,             0.89263,             0.62344,            0.024664,           0.0095844,           0.0019888,            0.002773,            0.002773,            0.002773
                  75,            0.019029,            0.011121,           0.0011306,             0.88096,             0.88408,             0.89192,             0.62207,            0.025852,           0.0095673,           0.0019583,            0.002674,            0.002674,            0.002674
                  76,            0.019927,            0.011657,           0.0011461,             0.91198,             0.86121,             0.89385,             0.63414,            0.024807,           0.0093298,           0.0019466,            0.002575,            0.002575,            0.002575
                  77,            0.017961,            0.010268,          0.00099257,             0.90851,             0.86904,             0.89317,             0.63033,            0.025844,           0.0095377,           0.0019609,            0.002476,            0.002476,            0.002476
                  78,            0.019675,            0.010977,           0.0011593,             0.91748,             0.85043,             0.89067,             0.63948,            0.024641,           0.0094252,           0.0019726,            0.002377,            0.002377,            0.002377
                  79,            0.018859,            0.011166,           0.0010473,             0.89354,             0.82265,             0.87638,             0.63104,            0.025247,           0.0094566,           0.0019766,            0.002278,            0.002278,            0.002278
                  80,            0.018179,            0.010491,           0.0011087,             0.89194,             0.82265,             0.87412,             0.63519,            0.025203,           0.0094748,           0.0019106,            0.002179,            0.002179,            0.002179
                  81,            0.018346,            0.010851,          0.00094059,             0.90321,             0.82265,             0.87526,             0.63048,            0.024428,           0.0094414,           0.0018887,             0.00208,             0.00208,             0.00208
                  82,            0.018348,            0.010959,           0.0010358,             0.91106,             0.82265,             0.87805,              0.6435,            0.023989,           0.0093098,           0.0018311,            0.001981,            0.001981,            0.001981
