epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,69.1492,0.75284,0.53457,0.91693,0.75918,0.75481,0.78439,0.55833,0.90991,0.65527,0.97738,0.000990365,0.000990365,0.000990365
43,70.7554,0.75045,0.52945,0.90885,0.89174,0.7594,0.82178,0.56321,0.96719,0.67787,1.01664,0.000973861,0.000973861,0.000973861
44,72.3419,0.79376,0.5482,0.94103,0.83773,0.72074,0.81266,0.59831,0.89359,0.65403,0.98126,0.000957358,0.000957358,0.000957358
45,74.0804,0.77069,0.53746,0.93572,0.7794,0.79596,0.79801,0.57292,0.89031,0.66759,1.00565,0.000940855,0.000940855,0.000940855
46,75.654,0.75389,0.51444,0.93333,0.86399,0.77427,0.81595,0.58794,0.87644,0.63506,0.98159,0.000924352,0.000924352,0.000924352
47,77.2475,0.72191,0.51333,0.91377,0.83705,0.72906,0.80734,0.56199,0.91514,0.63252,1.0154,0.000907848,0.000907848,0.000907848
48,78.8235,0.76208,0.52783,0.9415,0.76514,0.81569,0.81358,0.583,0.89683,0.61213,0.98081,0.000891345,0.000891345,0.000891345
49,80.3832,0.7349,0.50425,0.92723,0.88004,0.75936,0.83534,0.57863,0.9454,0.62734,1.00976,0.000874842,0.000874842,0.000874842
50,81.9469,0.71843,0.48385,0.9103,0.75305,0.77451,0.79629,0.58248,0.91897,0.65464,0.99879,0.000858338,0.000858338,0.000858338
51,83.5391,0.75219,0.52164,0.91855,0.7196,0.83067,0.78172,0.57184,0.9058,0.61945,1.0151,0.000841835,0.000841835,0.000841835
52,85.1194,0.74908,0.50236,0.91323,0.79481,0.77555,0.80213,0.57698,0.91827,0.63383,1.02153,0.000825332,0.000825332,0.000825332
53,86.7005,0.73052,0.48167,0.92608,0.81067,0.74421,0.78358,0.56779,0.91318,0.67203,1.02508,0.000808828,0.000808828,0.000808828
54,88.29,0.69658,0.49147,0.90938,0.83926,0.75936,0.81708,0.55909,0.94678,0.65816,1.04239,0.000792325,0.000792325,0.000792325
55,89.8586,0.68997,0.46887,0.90209,0.76422,0.78966,0.78724,0.55237,0.94576,0.6772,1.04315,0.000775822,0.000775822,0.000775822
